ID	Gene Symbol
merck2-AB126219_at	NENF
merck2-AB188491_at	OTUD1
merck2-AB193060_at	SGOL1
merck2-AB208798_at	
merck2-AB208816_at	CAST
merck2-AB208816_x_at	CAST
merck2-AB208834_at	ZNF236
merck2-AB208864_at	FLII
merck2-AB208888_at	SCN2A
merck2-AB208938_a_at	DDX52
merck2-AB208968_at	CDC42BPA
merck2-AB208976_at	SRSF6
merck2-AB209006_at	SMARCC2
merck2-AB209009_at	
merck2-AB209018_at	
merck2-AB209035_at	MYO19
merck2-AB209063_at	PHC1
merck2-AB209070_at	DNM1L
merck2-AB209229_at	MVD
merck2-AB209233_at	NCBP1
merck2-AB209250_at	
merck2-AB209296_at	NPEPL1
merck2-AB209354_at	GLI2
merck2-AB209399_at	GPD2
merck2-AB209481_at	MZF1
merck2-AB209495_at	PTCH1
merck2-AB209508_a_at	MLL
merck2-AB209521_at	ACTN2
merck2-AB209527_s_at	HNRNPC
merck2-AB209558_at	SRSF1
merck2-AB209563_at	SERPINB6
merck2-AB209571_at	COL16A1
merck2-AB209712_at	CHGB
merck2-AB209770_at	ANXA11
merck2-AB209788_at	CHN1
merck2-AB209864_a_at	COL5A1
merck2-AB209879_at	PLOD2
merck2-AB209887_a_at	WDR26
merck2-AB209891_at	ADAR
merck2-AB209992_at	DSP
merck2-AB209999_at	KDM5A
merck2-AB210001_at	APC
merck2-AB210017_at	PICALM
merck2-AB210032_at	ARID4B
merck2-AB210043_at	CREBBP
merck2-AB250297_at	TMEM30C
merck2-AB252970_at	TNIP1
merck2-AB265810_at	RNF31
merck2-AB266387_s_at	CCDC80
merck2-ABA11506_at	WFIKKN2
merck2-ABA36592_at	TTN
merck2-ABV36840_at	DOCK5
merck2-ABV60894_at	
merck2-ABX60120_at	
merck2-ABZ11949_at	XYLT2
merck2-ACH48042_at	USP7
merck2-ADL13320_at	
merck2-AER53082_at	TECR
merck2-AF000985_at	DDX3Y
merck2-AF000992_a_at	KDM6A
merck2-AF001602_at	PON2
merck2-AF002228_at	TBX3
merck2-AF002280_at	PDLIM3
merck2-AF004015_at	BIN1
merck2-AF004883_at	CACNA1A
merck2-AF005043_at	PARG
merck2-AF005418_at	CYP26A1
merck2-AF006083_at	ACTR3
merck2-AF006084_at	ARPC1B
merck2-AF006751_at	RRBP1
merck2-AF007575_at	RRBP1
merck2-AF007791_a_at	AGR2
merck2-AF009283_at	
merck2-AF010233_at	REPS2
merck2-AF011496_at	GNAQ
merck2-AF012108_at	NCOA3
merck2-AF014459_at	RS1
merck2-AF016507_x_at	CTBP2
merck2-AF016535_at	ABCB1
merck2-AF020089_at	BRSK2
merck2-AF020760_at	HTRA2
merck2-AF022108_at	ORC4
merck2-AF022913_at	PIGK
merck2-AF025304_at	EPHB2
